InvoiceID,GuestID,TotalAmount
INV0001,G0001,31045
INV0002,G0002,6564
INV0003,G0003,39061
INV0004,G0004,7263
INV0005,G0005,34123
INV0006,G0006,9749
INV0007,G0007,42760
INV0008,G0008,26844
INV0009,G0009,5904
INV0010,G0010,39790
INV0011,G0011,38212
INV0012,G0012,5081
INV0013,G0013,29507
INV0014,G0014,44413
INV0015,G0015,9566
INV0016,G0016,16517
INV0017,G0017,20115
INV0018,G0018,18104
INV0019,G0019,21644
INV0020,G0020,26752
INV0021,G0021,46922
INV0022,G0022,49192
INV0023,G0023,22381
INV0024,G0024,21844
INV0025,G0025,30671
INV0026,G0026,18822
INV0027,G0027,16309
INV0028,G0028,5894
INV0029,G0029,14284
INV0030,G0030,9920
INV0031,G0031,39319
INV0032,G0032,8141
INV0033,G0033,11184
INV0034,G0034,7924
INV0035,G0035,11772
INV0036,G0036,30462
INV0037,G0037,31543
INV0038,G0038,21580
INV0039,G0039,27641
INV0040,G0040,8912
INV0041,G0041,36122
INV0042,G0042,24480
INV0043,G0043,14607
INV0044,G0044,30616
INV0045,G0045,21205
INV0046,G0046,31365
INV0047,G0047,18367
INV0048,G0048,8858
INV0049,G0049,6925
INV0050,G0050,11329
INV0051,G0051,45961
INV0052,G0052,20937
INV0053,G0053,47183
INV0054,G0054,46670
INV0055,G0055,40538
INV0056,G0056,3643
INV0057,G0057,15091
INV0058,G0058,22482
INV0059,G0059,10720
INV0060,G0060,6977
INV0061,G0061,47606
INV0062,G0062,17267
INV0063,G0063,24313
INV0064,G0064,26968
INV0065,G0065,34650
INV0066,G0066,4208
INV0067,G0067,45379
INV0068,G0068,20584
INV0069,G0069,18050
INV0070,G0070,12394
INV0071,G0071,3036
INV0072,G0072,27502
INV0073,G0073,30635
INV0074,G0074,37434
INV0075,G0075,37052
INV0076,G0076,17374
INV0077,G0077,7207
INV0078,G0078,31280
INV0079,G0079,7678
INV0080,G0080,10161
INV0081,G0081,8959
INV0082,G0082,1783
INV0083,G0083,5041
INV0084,G0084,15567
INV0085,G0085,9566
INV0086,G0086,13984
INV0087,G0087,27252
INV0088,G0088,25395
INV0089,G0089,45976
INV0090,G0090,42307
INV0091,G0091,43250
INV0092,G0092,6507
INV0093,G0093,39163
INV0094,G0094,39411
INV0095,G0095,17962
INV0096,G0096,5914
INV0097,G0097,2428
INV0098,G0098,5225
INV0099,G0099,13959
INV0100,G0100,43335
INV0101,G0101,30060
INV0102,G0102,9440
INV0103,G0103,7027
INV0104,G0104,22728
INV0105,G0105,9029
INV0106,G0106,3798
INV0107,G0107,31211
INV0108,G0108,4318
INV0109,G0109,12009
INV0110,G0110,38610
INV0111,G0111,29387
INV0112,G0112,48476
INV0113,G0113,26886
INV0114,G0114,33514
INV0115,G0115,2932
INV0116,G0116,26082
INV0117,G0117,45775
INV0118,G0118,28961
INV0119,G0119,12325
INV0120,G0120,24196
INV0121,G0121,15071
INV0122,G0122,13265
INV0123,G0123,19021
INV0124,G0124,19340
INV0125,G0125,30229
INV0126,G0126,10740
INV0127,G0127,3270
INV0128,G0128,41246
INV0129,G0129,41578
INV0130,G0130,41434
INV0131,G0131,17107
INV0132,G0132,43420
INV0133,G0133,20340
INV0134,G0134,33695
INV0135,G0135,28000
INV0136,G0136,37089
INV0137,G0137,32393
INV0138,G0138,4996
INV0139,G0139,6748
INV0140,G0140,19335
INV0141,G0141,26101
INV0142,G0142,9993
INV0143,G0143,28474
INV0144,G0144,14071
INV0145,G0145,43116
INV0146,G0146,35459
INV0147,G0147,17328
INV0148,G0148,42337
INV0149,G0149,36629
INV0150,G0150,2279
INV0151,G0151,26067
INV0152,G0152,47751
INV0153,G0153,24534
INV0154,G0154,32436
INV0155,G0155,36685
INV0156,G0156,32763
INV0157,G0157,23546
INV0158,G0158,38070
INV0159,G0159,33924
INV0160,G0160,22076
INV0161,G0161,26452
INV0162,G0162,18723
INV0163,G0163,12784
INV0164,G0164,2708
INV0165,G0165,21897
INV0166,G0166,40132
INV0167,G0167,15353
INV0168,G0168,2920
INV0169,G0169,19411
INV0170,G0170,4839
INV0171,G0171,31912
INV0172,G0172,35696
INV0173,G0173,24424
INV0174,G0174,39272
INV0175,G0175,16254
INV0176,G0176,11461
INV0177,G0177,7562
INV0178,G0178,17243
INV0179,G0179,44048
INV0180,G0180,16804
INV0181,G0181,18467
INV0182,G0182,35975
INV0183,G0183,49303
INV0184,G0184,4664
INV0185,G0185,15379
INV0186,G0186,38728
INV0187,G0187,26455
INV0188,G0188,24252
INV0189,G0189,12384
INV0190,G0190,12540
INV0191,G0191,16502
INV0192,G0192,39831
INV0193,G0193,21840
INV0194,G0194,49372
INV0195,G0195,46719
INV0196,G0196,24513
INV0197,G0197,39768
INV0198,G0198,2848
INV0199,G0199,47101
INV0200,G0200,46911
INV0201,G0201,24047
INV0202,G0202,38201
INV0203,G0203,37936
INV0204,G0204,10312
INV0205,G0205,37903
INV0206,G0206,13336
INV0207,G0207,33258
INV0208,G0208,36528
INV0209,G0209,21254
INV0210,G0210,12505
INV0211,G0211,33141
INV0212,G0212,3487
INV0213,G0213,6915
INV0214,G0214,4681
INV0215,G0215,16245
INV0216,G0216,40430
INV0217,G0217,15339
INV0218,G0218,2306
INV0219,G0219,35501
INV0220,G0220,32325
INV0221,G0221,1044
INV0222,G0222,22740
INV0223,G0223,41247
INV0224,G0224,14203
INV0225,G0225,9551
INV0226,G0226,23331
INV0227,G0227,47985
INV0228,G0228,12630
INV0229,G0229,22206
INV0230,G0230,4903
INV0231,G0231,2436
INV0232,G0232,10680
INV0233,G0233,39444
INV0234,G0234,47182
INV0235,G0235,10283
INV0236,G0236,8269
INV0237,G0237,35491
INV0238,G0238,24913
INV0239,G0239,5753
INV0240,G0240,25483
INV0241,G0241,47172
INV0242,G0242,44393
INV0243,G0243,26925
INV0244,G0244,39405
INV0245,G0245,7621
INV0246,G0246,23056
INV0247,G0247,20776
INV0248,G0248,22142
INV0249,G0249,9942
INV0250,G0250,11322
INV0251,G0251,48995
INV0252,G0252,29630
INV0253,G0253,42894
INV0254,G0254,32929
INV0255,G0255,43544
INV0256,G0256,21793
INV0257,G0257,12416
INV0258,G0258,47345
INV0259,G0259,37829
INV0260,G0260,46453
INV0261,G0261,41220
INV0262,G0262,24384
INV0263,G0263,15630
INV0264,G0264,44616
INV0265,G0265,39597
INV0266,G0266,12491
INV0267,G0267,25797
INV0268,G0268,21107
INV0269,G0269,49103
INV0270,G0270,46121
INV0271,G0271,20301
INV0272,G0272,9345
INV0273,G0273,12646
INV0274,G0274,48764
INV0275,G0275,1117
INV0276,G0276,47006
INV0277,G0277,38541
INV0278,G0278,26663
INV0279,G0279,38190
INV0280,G0280,3122
INV0281,G0281,12932
INV0282,G0282,40478
INV0283,G0283,21854
INV0284,G0284,41067
INV0285,G0285,15476
INV0286,G0286,42919
INV0287,G0287,38063
INV0288,G0288,7822
INV0289,G0289,33517
INV0290,G0290,10217
INV0291,G0291,22703
INV0292,G0292,49846
INV0293,G0293,6099
INV0294,G0294,16597
INV0295,G0295,23728
INV0296,G0296,21939
INV0297,G0297,12002
INV0298,G0298,42693
INV0299,G0299,6814
INV0300,G0300,47462
INV0301,G0301,44910
INV0302,G0302,42884
INV0303,G0303,48794
INV0304,G0304,23003
INV0305,G0305,30270
INV0306,G0306,1746
INV0307,G0307,18380
INV0308,G0308,14741
INV0309,G0309,17353
INV0310,G0310,46427
INV0311,G0311,5442
INV0312,G0312,23969
INV0313,G0313,17820
INV0314,G0314,8080
INV0315,G0315,48213
INV0316,G0316,1083
INV0317,G0317,4155
INV0318,G0318,26292
INV0319,G0319,29719
INV0320,G0320,49010
INV0321,G0321,28502
INV0322,G0322,11901
INV0323,G0323,28133
INV0324,G0324,33314
INV0325,G0325,25819
INV0326,G0326,24018
INV0327,G0327,36784
INV0328,G0328,25598
INV0329,G0329,7647
INV0330,G0330,32423
INV0331,G0331,38883
INV0332,G0332,43661
INV0333,G0333,46033
INV0334,G0334,15783
INV0335,G0335,11659
INV0336,G0336,30575
INV0337,G0337,5830
INV0338,G0338,3189
INV0339,G0339,20327
INV0340,G0340,2315
INV0341,G0341,21887
INV0342,G0342,18113
INV0343,G0343,7863
INV0344,G0344,5862
INV0345,G0345,23400
INV0346,G0346,12148
INV0347,G0347,25606
INV0348,G0348,11545
INV0349,G0349,48971
INV0350,G0350,5915
INV0351,G0351,36851
INV0352,G0352,7101
INV0353,G0353,23147
INV0354,G0354,39930
INV0355,G0355,41215
INV0356,G0356,32636
INV0357,G0357,47170
INV0358,G0358,3031
INV0359,G0359,29267
INV0360,G0360,43836
INV0361,G0361,11813
INV0362,G0362,40801
INV0363,G0363,29455
INV0364,G0364,11295
INV0365,G0365,4509
INV0366,G0366,7636
INV0367,G0367,22698
INV0368,G0368,14470
INV0369,G0369,13450
INV0370,G0370,27822
INV0371,G0371,46691
INV0372,G0372,37314
INV0373,G0373,48319
INV0374,G0374,48839
INV0375,G0375,36397
INV0376,G0376,18384
INV0377,G0377,44292
INV0378,G0378,19449
INV0379,G0379,20490
INV0380,G0380,16567
INV0381,G0381,7285
INV0382,G0382,4252
INV0383,G0383,26749
INV0384,G0384,38471
INV0385,G0385,37022
INV0386,G0386,33174
INV0387,G0387,11065
INV0388,G0388,4572
INV0389,G0389,24647
INV0390,G0390,1250
INV0391,G0391,29023
INV0392,G0392,6742
INV0393,G0393,20303
INV0394,G0394,44386
INV0395,G0395,41965
INV0396,G0396,40335
INV0397,G0397,32478
INV0398,G0398,14085
INV0399,G0399,7356
INV0400,G0400,2686
INV0401,G0401,14562
INV0402,G0402,12195
INV0403,G0403,42824
INV0404,G0404,20124
INV0405,G0405,6369
INV0406,G0406,32035
INV0407,G0407,8569
INV0408,G0408,21208
INV0409,G0409,27048
INV0410,G0410,31863
INV0411,G0411,33053
INV0412,G0412,44321
INV0413,G0413,18367
INV0414,G0414,6972
INV0415,G0415,43065
INV0416,G0416,36659
INV0417,G0417,26396
INV0418,G0418,13116
INV0419,G0419,25315
INV0420,G0420,25998
INV0421,G0421,25209
INV0422,G0422,13227
INV0423,G0423,30214
INV0424,G0424,3924
INV0425,G0425,18255
INV0426,G0426,29818
INV0427,G0427,31478
INV0428,G0428,18262
INV0429,G0429,15827
INV0430,G0430,18600
INV0431,G0431,37978
INV0432,G0432,5039
INV0433,G0433,10904
INV0434,G0434,46643
INV0435,G0435,44743
INV0436,G0436,7337
INV0437,G0437,6616
INV0438,G0438,44787
INV0439,G0439,23530
INV0440,G0440,36484
INV0441,G0441,28131
INV0442,G0442,39648
INV0443,G0443,15910
INV0444,G0444,37280
INV0445,G0445,4996
INV0446,G0446,26369
INV0447,G0447,35247
INV0448,G0448,28435
INV0449,G0449,36095
INV0450,G0450,46027
INV0451,G0451,32118
INV0452,G0452,38533
INV0453,G0453,16443
INV0454,G0454,32212
INV0455,G0455,20585
INV0456,G0456,6174
INV0457,G0457,26873
INV0458,G0458,47812
INV0459,G0459,3275
INV0460,G0460,33905
INV0461,G0461,38435
INV0462,G0462,34870
INV0463,G0463,38452
INV0464,G0464,45402
INV0465,G0465,41650
INV0466,G0466,10663
INV0467,G0467,8882
INV0468,G0468,30428
INV0469,G0469,12329
INV0470,G0470,11955
INV0471,G0471,14886
INV0472,G0472,13630
INV0473,G0473,9269
INV0474,G0474,3796
INV0475,G0475,28746
INV0476,G0476,6135
INV0477,G0477,45769
INV0478,G0478,29533
INV0479,G0479,14232
INV0480,G0480,42105
INV0481,G0481,10691
INV0482,G0482,39997
INV0483,G0483,17900
INV0484,G0484,21955
INV0485,G0485,48651
INV0486,G0486,5391
INV0487,G0487,6703
INV0488,G0488,26434
INV0489,G0489,37461
INV0490,G0490,27041
INV0491,G0491,37179
INV0492,G0492,22373
INV0493,G0493,19101
INV0494,G0494,35058
INV0495,G0495,31025
INV0496,G0496,1810
INV0497,G0497,46902
INV0498,G0498,41832
INV0499,G0499,39507
INV0500,G0500,35246
