CRMID,GuestID,Outcome
CRM0001,G0001,Neutral
CRM0002,G0002,Positive
CRM0003,G0003,Neutral
CRM0004,G0004,Positive
CRM0005,G0005,Positive
CRM0006,G0006,Negative
CRM0007,G0007,Negative
CRM0008,G0008,Negative
CRM0009,G0009,Positive
CRM0010,G0010,Positive
CRM0011,G0011,Negative
CRM0012,G0012,Positive
CRM0013,G0013,Neutral
CRM0014,G0014,Negative
CRM0015,G0015,Neutral
CRM0016,G0016,Neutral
CRM0017,G0017,Neutral
CRM0018,G0018,Neutral
CRM0019,G0019,Negative
CRM0020,G0020,Neutral
CRM0021,G0021,Negative
CRM0022,G0022,Negative
CRM0023,G0023,Neutral
CRM0024,G0024,Positive
CRM0025,G0025,Positive
CRM0026,G0026,Neutral
CRM0027,G0027,Neutral
CRM0028,G0028,Positive
CRM0029,G0029,Negative
CRM0030,G0030,Negative
CRM0031,G0031,Negative
CRM0032,G0032,Negative
CRM0033,G0033,Neutral
CRM0034,G0034,Positive
CRM0035,G0035,Neutral
CRM0036,G0036,Neutral
CRM0037,G0037,Negative
CRM0038,G0038,Positive
CRM0039,G0039,Positive
CRM0040,G0040,Negative
CRM0041,G0041,Neutral
CRM0042,G0042,Neutral
CRM0043,G0043,Neutral
CRM0044,G0044,Positive
CRM0045,G0045,Neutral
CRM0046,G0046,Neutral
CRM0047,G0047,Neutral
CRM0048,G0048,Neutral
CRM0049,G0049,Neutral
CRM0050,G0050,Negative
CRM0051,G0051,Negative
CRM0052,G0052,Positive
CRM0053,G0053,Positive
CRM0054,G0054,Positive
CRM0055,G0055,Neutral
CRM0056,G0056,Negative
CRM0057,G0057,Neutral
CRM0058,G0058,Neutral
CRM0059,G0059,Neutral
CRM0060,G0060,Negative
CRM0061,G0061,Neutral
CRM0062,G0062,Negative
CRM0063,G0063,Negative
CRM0064,G0064,Positive
CRM0065,G0065,Positive
CRM0066,G0066,Neutral
CRM0067,G0067,Positive
CRM0068,G0068,Neutral
CRM0069,G0069,Negative
CRM0070,G0070,Neutral
CRM0071,G0071,Negative
CRM0072,G0072,Neutral
CRM0073,G0073,Positive
CRM0074,G0074,Negative
CRM0075,G0075,Positive
CRM0076,G0076,Positive
CRM0077,G0077,Neutral
CRM0078,G0078,Negative
CRM0079,G0079,Negative
CRM0080,G0080,Neutral
CRM0081,G0081,Positive
CRM0082,G0082,Negative
CRM0083,G0083,Negative
CRM0084,G0084,Positive
CRM0085,G0085,Positive
CRM0086,G0086,Positive
CRM0087,G0087,Positive
CRM0088,G0088,Positive
CRM0089,G0089,Positive
CRM0090,G0090,Positive
CRM0091,G0091,Neutral
CRM0092,G0092,Positive
CRM0093,G0093,Neutral
CRM0094,G0094,Negative
CRM0095,G0095,Positive
CRM0096,G0096,Neutral
CRM0097,G0097,Neutral
CRM0098,G0098,Neutral
CRM0099,G0099,Negative
CRM0100,G0100,Neutral
CRM0101,G0101,Negative
CRM0102,G0102,Positive
CRM0103,G0103,Negative
CRM0104,G0104,Positive
CRM0105,G0105,Positive
CRM0106,G0106,Neutral
CRM0107,G0107,Neutral
CRM0108,G0108,Negative
CRM0109,G0109,Neutral
CRM0110,G0110,Positive
CRM0111,G0111,Neutral
CRM0112,G0112,Negative
CRM0113,G0113,Negative
CRM0114,G0114,Neutral
CRM0115,G0115,Neutral
CRM0116,G0116,Positive
CRM0117,G0117,Neutral
CRM0118,G0118,Negative
CRM0119,G0119,Negative
CRM0120,G0120,Positive
CRM0121,G0121,Neutral
CRM0122,G0122,Positive
CRM0123,G0123,Neutral
CRM0124,G0124,Positive
CRM0125,G0125,Positive
CRM0126,G0126,Negative
CRM0127,G0127,Positive
CRM0128,G0128,Positive
CRM0129,G0129,Negative
CRM0130,G0130,Positive
CRM0131,G0131,Negative
CRM0132,G0132,Positive
CRM0133,G0133,Neutral
CRM0134,G0134,Negative
CRM0135,G0135,Neutral
CRM0136,G0136,Negative
CRM0137,G0137,Positive
CRM0138,G0138,Negative
CRM0139,G0139,Positive
CRM0140,G0140,Neutral
CRM0141,G0141,Positive
CRM0142,G0142,Negative
CRM0143,G0143,Positive
CRM0144,G0144,Negative
CRM0145,G0145,Positive
CRM0146,G0146,Positive
CRM0147,G0147,Neutral
CRM0148,G0148,Negative
CRM0149,G0149,Neutral
CRM0150,G0150,Negative
CRM0151,G0151,Negative
CRM0152,G0152,Negative
CRM0153,G0153,Neutral
CRM0154,G0154,Neutral
CRM0155,G0155,Neutral
CRM0156,G0156,Neutral
CRM0157,G0157,Neutral
CRM0158,G0158,Neutral
CRM0159,G0159,Positive
CRM0160,G0160,Neutral
CRM0161,G0161,Neutral
CRM0162,G0162,Negative
CRM0163,G0163,Negative
CRM0164,G0164,Negative
CRM0165,G0165,Neutral
CRM0166,G0166,Negative
CRM0167,G0167,Positive
CRM0168,G0168,Positive
CRM0169,G0169,Negative
CRM0170,G0170,Negative
CRM0171,G0171,Neutral
CRM0172,G0172,Negative
CRM0173,G0173,Negative
CRM0174,G0174,Negative
CRM0175,G0175,Negative
CRM0176,G0176,Neutral
CRM0177,G0177,Neutral
CRM0178,G0178,Negative
CRM0179,G0179,Positive
CRM0180,G0180,Neutral
CRM0181,G0181,Positive
CRM0182,G0182,Neutral
CRM0183,G0183,Neutral
CRM0184,G0184,Negative
CRM0185,G0185,Neutral
CRM0186,G0186,Neutral
CRM0187,G0187,Neutral
CRM0188,G0188,Negative
CRM0189,G0189,Negative
CRM0190,G0190,Negative
CRM0191,G0191,Neutral
CRM0192,G0192,Positive
