ActivityID,GuestID,Activity
EXP0001,G0001,Spa
EXP0002,G0002,Spa
EXP0003,G0003,Spa
EXP0004,G0004,Yoga
EXP0005,G0005,Tour
EXP0006,G0006,Spa
EXP0007,G0007,Yoga
EXP0008,G0008,Cruise
EXP0009,G0009,Yoga
EXP0010,G0010,Yoga
EXP0011,G0011,Spa
EXP0012,G0012,Cruise
EXP0013,G0013,Tour
EXP0014,G0014,Cruise
EXP0015,G0015,Cruise
EXP0016,G0016,Cruise
EXP0017,G0017,Cruise
EXP0018,G0018,Spa
EXP0019,G0019,Yoga
EXP0020,G0020,Tour
EXP0021,G0021,Tour
EXP0022,G0022,Yoga
EXP0023,G0023,Tour
EXP0024,G0024,Cruise
EXP0025,G0025,Spa
EXP0026,G0026,Cruise
EXP0027,G0027,Cruise
EXP0028,G0028,Spa
EXP0029,G0029,Tour
EXP0030,G0030,Spa
EXP0031,G0031,Yoga
EXP0032,G0032,Yoga
EXP0033,G0033,Yoga
EXP0034,G0034,Spa
EXP0035,G0035,Yoga
EXP0036,G0036,Cruise
EXP0037,G0037,Cruise
EXP0038,G0038,Yoga
EXP0039,G0039,Yoga
EXP0040,G0040,Yoga
EXP0041,G0041,Yoga
EXP0042,G0042,Spa
EXP0043,G0043,Spa
EXP0044,G0044,Cruise
EXP0045,G0045,Tour
EXP0046,G0046,Cruise
EXP0047,G0047,Spa
EXP0048,G0048,Cruise
EXP0049,G0049,Cruise
EXP0050,G0050,Spa
EXP0051,G0051,Tour
EXP0052,G0052,Spa
EXP0053,G0053,Cruise
EXP0054,G0054,Spa
EXP0055,G0055,Tour
EXP0056,G0056,Tour
EXP0057,G0057,Spa
EXP0058,G0058,Spa
EXP0059,G0059,Spa
EXP0060,G0060,Yoga
EXP0061,G0061,Cruise
EXP0062,G0062,Cruise
EXP0063,G0063,Tour
EXP0064,G0064,Cruise
EXP0065,G0065,Yoga
EXP0066,G0066,Tour
EXP0067,G0067,Spa
EXP0068,G0068,Spa
EXP0069,G0069,Tour
EXP0070,G0070,Tour
EXP0071,G0071,Tour
EXP0072,G0072,Yoga
EXP0073,G0073,Spa
EXP0074,G0074,Yoga
EXP0075,G0075,Spa
EXP0076,G0076,Tour
EXP0077,G0077,Yoga
EXP0078,G0078,Cruise
EXP0079,G0079,Spa
EXP0080,G0080,Tour
EXP0081,G0081,Tour
EXP0082,G0082,Yoga
EXP0083,G0083,Cruise
EXP0084,G0084,Cruise
EXP0085,G0085,Spa
EXP0086,G0086,Spa
EXP0087,G0087,Spa
EXP0088,G0088,Yoga
EXP0089,G0089,Tour
EXP0090,G0090,Yoga
EXP0091,G0091,Tour
EXP0092,G0092,Tour
EXP0093,G0093,Tour
EXP0094,G0094,Cruise
EXP0095,G0095,Yoga
EXP0096,G0096,Yoga
EXP0097,G0097,Yoga
EXP0098,G0098,Cruise
EXP0099,G0099,Cruise
EXP0100,G0100,Tour
EXP0101,G0101,Cruise
EXP0102,G0102,Spa
EXP0103,G0103,Spa
EXP0104,G0104,Spa
EXP0105,G0105,Yoga
EXP0106,G0106,Spa
EXP0107,G0107,Cruise
EXP0108,G0108,Yoga
EXP0109,G0109,Yoga
EXP0110,G0110,Spa
EXP0111,G0111,Tour
EXP0112,G0112,Tour
EXP0113,G0113,Cruise
EXP0114,G0114,Spa
EXP0115,G0115,Cruise
EXP0116,G0116,Tour
EXP0117,G0117,Tour
EXP0118,G0118,Spa
EXP0119,G0119,Tour
EXP0120,G0120,Tour
EXP0121,G0121,Tour
EXP0122,G0122,Spa
EXP0123,G0123,Spa
EXP0124,G0124,Tour
EXP0125,G0125,Tour
EXP0126,G0126,Yoga
EXP0127,G0127,Spa
EXP0128,G0128,Cruise
EXP0129,G0129,Cruise
EXP0130,G0130,Tour
EXP0131,G0131,Tour
EXP0132,G0132,Yoga
EXP0133,G0133,Yoga
EXP0134,G0134,Spa
EXP0135,G0135,Cruise
EXP0136,G0136,Yoga
EXP0137,G0137,Cruise
EXP0138,G0138,Yoga
EXP0139,G0139,Tour
EXP0140,G0140,Yoga
EXP0141,G0141,Yoga
EXP0142,G0142,Spa
EXP0143,G0143,Tour
EXP0144,G0144,Tour
EXP0145,G0145,Spa
EXP0146,G0146,Cruise
EXP0147,G0147,Tour
EXP0148,G0148,Tour
EXP0149,G0149,Spa
EXP0150,G0150,Cruise
EXP0151,G0151,Tour
EXP0152,G0152,Spa
EXP0153,G0153,Tour
EXP0154,G0154,Yoga
EXP0155,G0155,Cruise
EXP0156,G0156,Yoga
EXP0157,G0157,Cruise
EXP0158,G0158,Spa
EXP0159,G0159,Tour
EXP0160,G0160,Tour
EXP0161,G0161,Spa
EXP0162,G0162,Tour
EXP0163,G0163,Yoga
EXP0164,G0164,Spa
EXP0165,G0165,Yoga
EXP0166,G0166,Cruise
EXP0167,G0167,Tour
EXP0168,G0168,Yoga
EXP0169,G0169,Tour
EXP0170,G0170,Cruise
EXP0171,G0171,Tour
EXP0172,G0172,Cruise
EXP0173,G0173,Spa
EXP0174,G0174,Tour
EXP0175,G0175,Spa
EXP0176,G0176,Cruise
EXP0177,G0177,Spa
EXP0178,G0178,Yoga
EXP0179,G0179,Spa
EXP0180,G0180,Yoga
EXP0181,G0181,Cruise
EXP0182,G0182,Cruise
EXP0183,G0183,Tour
EXP0184,G0184,Yoga
EXP0185,G0185,Tour
EXP0186,G0186,Tour
EXP0187,G0187,Cruise
EXP0188,G0188,Spa
EXP0189,G0189,Cruise
EXP0190,G0190,Cruise
EXP0191,G0191,Spa
EXP0192,G0192,Yoga
EXP0193,G0193,Yoga
EXP0194,G0194,Spa
EXP0195,G0195,Spa
EXP0196,G0196,Tour
EXP0197,G0197,Spa
EXP0198,G0198,Spa
EXP0199,G0199,Tour
EXP0200,G0200,Yoga
EXP0201,G0201,Spa
EXP0202,G0202,Spa
EXP0203,G0203,Tour
EXP0204,G0204,Spa
EXP0205,G0205,Tour
EXP0206,G0206,Cruise
EXP0207,G0207,Tour
EXP0208,G0208,Cruise
EXP0209,G0209,Cruise
EXP0210,G0210,Tour
EXP0211,G0211,Tour
EXP0212,G0212,Tour
EXP0213,G0213,Yoga
EXP0214,G0214,Spa
EXP0215,G0215,Tour
EXP0216,G0216,Cruise
EXP0217,G0217,Cruise
EXP0218,G0218,Tour
EXP0219,G0219,Spa
EXP0220,G0220,Spa
EXP0221,G0221,Spa
EXP0222,G0222,Cruise
EXP0223,G0223,Tour
EXP0224,G0224,Tour
EXP0225,G0225,Tour
EXP0226,G0226,Cruise
EXP0227,G0227,Tour
EXP0228,G0228,Cruise
EXP0229,G0229,Cruise
EXP0230,G0230,Spa
EXP0231,G0231,Tour
EXP0232,G0232,Tour
EXP0233,G0233,Yoga
EXP0234,G0234,Spa
EXP0235,G0235,Cruise
EXP0236,G0236,Spa
EXP0237,G0237,Yoga
EXP0238,G0238,Spa
EXP0239,G0239,Spa
EXP0240,G0240,Yoga
EXP0241,G0241,Spa
EXP0242,G0242,Spa
EXP0243,G0243,Yoga
EXP0244,G0244,Yoga
EXP0245,G0245,Cruise
EXP0246,G0246,Yoga
EXP0247,G0247,Tour
EXP0248,G0248,Tour
EXP0249,G0249,Tour
EXP0250,G0250,Cruise
EXP0251,G0251,Spa
EXP0252,G0252,Yoga
EXP0253,G0253,Cruise
EXP0254,G0254,Spa
EXP0255,G0255,Yoga
EXP0256,G0256,Spa
EXP0257,G0257,Yoga
EXP0258,G0258,Tour
EXP0259,G0259,Yoga
