ActivityID,GuestID,Activity
FO0001,G0001,CheckOut
FO0002,G0002,CheckOut
FO0003,G0003,Room Change
FO0004,G0004,CheckOut
FO0005,G0005,CheckIn
FO0006,G0006,Room Change
FO0007,G0007,CheckOut
FO0008,G0008,CheckOut
FO0009,G0009,Room Change
FO0010,G0010,CheckOut
FO0011,G0011,CheckIn
FO0012,G0012,CheckIn
FO0013,G0013,CheckOut
FO0014,G0014,CheckIn
FO0015,G0015,Room Change
FO0016,G0016,CheckOut
FO0017,G0017,Room Change
FO0018,G0018,CheckIn
FO0019,G0019,CheckOut
FO0020,G0020,Room Change
FO0021,G0021,CheckIn
FO0022,G0022,CheckOut
FO0023,G0023,Extension
FO0024,G0024,CheckIn
FO0025,G0025,CheckIn
FO0026,G0026,Extension
FO0027,G0027,Extension
FO0028,G0028,Room Change
FO0029,G0029,CheckIn
FO0030,G0030,Extension
FO0031,G0031,CheckOut
FO0032,G0032,CheckIn
FO0033,G0033,Room Change
FO0034,G0034,Extension
FO0035,G0035,CheckIn
FO0036,G0036,CheckIn
FO0037,G0037,Extension
FO0038,G0038,Extension
FO0039,G0039,Extension
FO0040,G0040,CheckIn
FO0041,G0041,Extension
FO0042,G0042,Extension
FO0043,G0043,CheckIn
FO0044,G0044,CheckIn
FO0045,G0045,Room Change
FO0046,G0046,CheckOut
FO0047,G0047,CheckIn
FO0048,G0048,CheckOut
FO0049,G0049,Room Change
FO0050,G0050,Room Change
FO0051,G0051,Extension
FO0052,G0052,Room Change
FO0053,G0053,Extension
FO0054,G0054,Extension
FO0055,G0055,CheckIn
FO0056,G0056,CheckIn
FO0057,G0057,CheckOut
FO0058,G0058,Extension
FO0059,G0059,Extension
FO0060,G0060,CheckOut
FO0061,G0061,Extension
FO0062,G0062,Room Change
FO0063,G0063,Extension
FO0064,G0064,Extension
FO0065,G0065,Extension
FO0066,G0066,CheckIn
FO0067,G0067,Room Change
FO0068,G0068,Extension
FO0069,G0069,Room Change
FO0070,G0070,Room Change
FO0071,G0071,Room Change
FO0072,G0072,CheckOut
FO0073,G0073,Extension
FO0074,G0074,CheckIn
FO0075,G0075,CheckIn
FO0076,G0076,CheckIn
FO0077,G0077,CheckIn
FO0078,G0078,Extension
FO0079,G0079,CheckIn
FO0080,G0080,Room Change
FO0081,G0081,CheckOut
FO0082,G0082,CheckIn
FO0083,G0083,Room Change
FO0084,G0084,CheckIn
FO0085,G0085,Extension
FO0086,G0086,Room Change
FO0087,G0087,Extension
FO0088,G0088,CheckIn
FO0089,G0089,Room Change
FO0090,G0090,Room Change
FO0091,G0091,Room Change
FO0092,G0092,CheckIn
FO0093,G0093,CheckOut
FO0094,G0094,CheckOut
FO0095,G0095,Extension
FO0096,G0096,CheckOut
FO0097,G0097,CheckIn
FO0098,G0098,Room Change
FO0099,G0099,Room Change
FO0100,G0100,CheckIn
FO0101,G0101,Room Change
FO0102,G0102,CheckOut
FO0103,G0103,Extension
FO0104,G0104,CheckIn
FO0105,G0105,Room Change
FO0106,G0106,CheckIn
FO0107,G0107,CheckOut
FO0108,G0108,Room Change
FO0109,G0109,Room Change
FO0110,G0110,Room Change
FO0111,G0111,Room Change
FO0112,G0112,CheckIn
FO0113,G0113,CheckOut
FO0114,G0114,CheckOut
FO0115,G0115,Extension
FO0116,G0116,CheckIn
FO0117,G0117,CheckOut
FO0118,G0118,CheckIn
FO0119,G0119,CheckIn
FO0120,G0120,CheckOut
FO0121,G0121,Extension
FO0122,G0122,Extension
FO0123,G0123,Extension
FO0124,G0124,Room Change
FO0125,G0125,CheckOut
FO0126,G0126,Room Change
FO0127,G0127,Room Change
FO0128,G0128,Room Change
FO0129,G0129,CheckIn
FO0130,G0130,CheckIn
FO0131,G0131,CheckOut
FO0132,G0132,CheckOut
FO0133,G0133,CheckIn
FO0134,G0134,CheckIn
FO0135,G0135,Room Change
FO0136,G0136,Extension
FO0137,G0137,Extension
FO0138,G0138,Extension
FO0139,G0139,Extension
FO0140,G0140,Extension
FO0141,G0141,Room Change
FO0142,G0142,CheckOut
FO0143,G0143,CheckIn
FO0144,G0144,Room Change
FO0145,G0145,Extension
FO0146,G0146,CheckIn
FO0147,G0147,Room Change
FO0148,G0148,Extension
FO0149,G0149,Room Change
FO0150,G0150,CheckIn
FO0151,G0151,CheckOut
FO0152,G0152,Extension
FO0153,G0153,CheckIn
FO0154,G0154,CheckIn
FO0155,G0155,CheckOut
FO0156,G0156,Room Change
FO0157,G0157,CheckOut
FO0158,G0158,CheckOut
FO0159,G0159,Room Change
FO0160,G0160,Room Change
FO0161,G0161,Room Change
FO0162,G0162,CheckIn
FO0163,G0163,CheckIn
FO0164,G0164,Extension
FO0165,G0165,Extension
FO0166,G0166,CheckOut
FO0167,G0167,CheckOut
FO0168,G0168,Extension
FO0169,G0169,CheckOut
FO0170,G0170,Room Change
FO0171,G0171,CheckIn
FO0172,G0172,Extension
FO0173,G0173,CheckIn
FO0174,G0174,Extension
FO0175,G0175,CheckIn
FO0176,G0176,Extension
FO0177,G0177,CheckIn
FO0178,G0178,Room Change
FO0179,G0179,Extension
FO0180,G0180,Extension
FO0181,G0181,Extension
FO0182,G0182,Room Change
FO0183,G0183,CheckIn
FO0184,G0184,Extension
FO0185,G0185,CheckIn
FO0186,G0186,Room Change
FO0187,G0187,CheckOut
FO0188,G0188,Extension
FO0189,G0189,Room Change
FO0190,G0190,CheckIn
FO0191,G0191,Extension
FO0192,G0192,CheckIn
FO0193,G0193,CheckOut
FO0194,G0194,Extension
FO0195,G0195,Extension
