LaundryID,GuestID,Items
L0001,G0001,4
L0002,G0002,9
L0003,G0003,14
L0004,G0004,15
L0005,G0005,9
L0006,G0006,11
L0007,G0007,7
L0008,G0008,14
L0009,G0009,3
L0010,G0010,10
L0011,G0011,2
L0012,G0012,3
L0013,G0013,8
L0014,G0014,15
L0015,G0015,10
L0016,G0016,10
L0017,G0017,1
L0018,G0018,15
L0019,G0019,13
L0020,G0020,9
L0021,G0021,9
L0022,G0022,13
L0023,G0023,2
L0024,G0024,2
L0025,G0025,8
L0026,G0026,11
L0027,G0027,3
L0028,G0028,15
L0029,G0029,10
L0030,G0030,9
L0031,G0031,14
L0032,G0032,1
L0033,G0033,15
L0034,G0034,13
L0035,G0035,11
L0036,G0036,11
L0037,G0037,7
L0038,G0038,9
L0039,G0039,7
L0040,G0040,6
L0041,G0041,14
L0042,G0042,1
L0043,G0043,12
L0044,G0044,9
L0045,G0045,7
L0046,G0046,4
L0047,G0047,13
L0048,G0048,8
L0049,G0049,13
L0050,G0050,13
L0051,G0051,7
L0052,G0052,6
L0053,G0053,10
L0054,G0054,13
L0055,G0055,12
L0056,G0056,15
L0057,G0057,13
L0058,G0058,14
L0059,G0059,12
L0060,G0060,10
L0061,G0061,2
L0062,G0062,7
L0063,G0063,3
L0064,G0064,5
L0065,G0065,8
L0066,G0066,13
L0067,G0067,4
L0068,G0068,15
L0069,G0069,14
L0070,G0070,2
L0071,G0071,5
L0072,G0072,10
L0073,G0073,15
L0074,G0074,9
L0075,G0075,7
L0076,G0076,5
L0077,G0077,4
L0078,G0078,1
L0079,G0079,12
L0080,G0080,12
L0081,G0081,13
L0082,G0082,1
L0083,G0083,10
L0084,G0084,9
L0085,G0085,2
L0086,G0086,9
L0087,G0087,1
L0088,G0088,7
L0089,G0089,11
L0090,G0090,4
L0091,G0091,12
L0092,G0092,13
L0093,G0093,6
L0094,G0094,7
L0095,G0095,6
L0096,G0096,2
L0097,G0097,3
L0098,G0098,7
L0099,G0099,11
L0100,G0100,10
L0101,G0101,5
L0102,G0102,5
L0103,G0103,14
L0104,G0104,9
L0105,G0105,7
L0106,G0106,10
L0107,G0107,6
L0108,G0108,10
L0109,G0109,5
L0110,G0110,11
L0111,G0111,7
L0112,G0112,13
L0113,G0113,4
L0114,G0114,7
L0115,G0115,9
L0116,G0116,13
L0117,G0117,9
L0118,G0118,8
L0119,G0119,3
L0120,G0120,6
L0121,G0121,9
L0122,G0122,9
L0123,G0123,8
L0124,G0124,5
L0125,G0125,5
L0126,G0126,10
L0127,G0127,6
L0128,G0128,13
L0129,G0129,12
L0130,G0130,7
L0131,G0131,12
L0132,G0132,3
L0133,G0133,14
L0134,G0134,14
L0135,G0135,11
L0136,G0136,2
L0137,G0137,12
L0138,G0138,4
L0139,G0139,8
L0140,G0140,13
L0141,G0141,12
L0142,G0142,3
L0143,G0143,2
L0144,G0144,4
L0145,G0145,9
L0146,G0146,7
L0147,G0147,13
L0148,G0148,6
L0149,G0149,13
L0150,G0150,9
L0151,G0151,10
L0152,G0152,12
L0153,G0153,11
L0154,G0154,12
L0155,G0155,1
L0156,G0156,3
L0157,G0157,7
L0158,G0158,11
L0159,G0159,1
L0160,G0160,13
L0161,G0161,2
L0162,G0162,14
L0163,G0163,3
L0164,G0164,8
L0165,G0165,15
L0166,G0166,10
L0167,G0167,7
L0168,G0168,2
L0169,G0169,2
L0170,G0170,5
L0171,G0171,4
L0172,G0172,6
L0173,G0173,2
L0174,G0174,10
L0175,G0175,1
L0176,G0176,12
L0177,G0177,7
L0178,G0178,15
L0179,G0179,7
L0180,G0180,10
L0181,G0181,11
L0182,G0182,9
L0183,G0183,5
L0184,G0184,12
L0185,G0185,10
L0186,G0186,1
L0187,G0187,13
L0188,G0188,14
L0189,G0189,3
L0190,G0190,11
L0191,G0191,8
L0192,G0192,8
L0193,G0193,1
L0194,G0194,4
L0195,G0195,14
L0196,G0196,11
L0197,G0197,15
L0198,G0198,13
L0199,G0199,9
L0200,G0200,5
L0201,G0201,4
L0202,G0202,1
L0203,G0203,13
L0204,G0204,10
L0205,G0205,9
L0206,G0206,9
L0207,G0207,12
L0208,G0208,4
L0209,G0209,10
L0210,G0210,3
L0211,G0211,11
L0212,G0212,1
L0213,G0213,6
L0214,G0214,4
L0215,G0215,11
L0216,G0216,1
L0217,G0217,3
L0218,G0218,2
L0219,G0219,5
L0220,G0220,13
L0221,G0221,7
L0222,G0222,6
L0223,G0223,11
L0224,G0224,7
L0225,G0225,7
L0226,G0226,10
L0227,G0227,4
L0228,G0228,9
L0229,G0229,1
L0230,G0230,12
L0231,G0231,12
L0232,G0232,2
L0233,G0233,15
L0234,G0234,2
L0235,G0235,9
L0236,G0236,5
L0237,G0237,12
L0238,G0238,14
L0239,G0239,9
L0240,G0240,15
L0241,G0241,10
L0242,G0242,6
L0243,G0243,6
L0244,G0244,14
L0245,G0245,5
L0246,G0246,4
L0247,G0247,10
L0248,G0248,4
L0249,G0249,8
L0250,G0250,15
L0251,G0251,7
L0252,G0252,10
L0253,G0253,1
L0254,G0254,5
L0255,G0255,3
L0256,G0256,7
L0257,G0257,9
L0258,G0258,2
L0259,G0259,9
L0260,G0260,2
L0261,G0261,9
L0262,G0262,5
L0263,G0263,6
L0264,G0264,2
L0265,G0265,13
L0266,G0266,9
L0267,G0267,5
L0268,G0268,15
L0269,G0269,9
L0270,G0270,14
L0271,G0271,13
L0272,G0272,10
L0273,G0273,5
L0274,G0274,12
L0275,G0275,8
L0276,G0276,7
L0277,G0277,10
L0278,G0278,8
L0279,G0279,13
L0280,G0280,4
L0281,G0281,13
L0282,G0282,6
L0283,G0283,13
L0284,G0284,8
L0285,G0285,11
L0286,G0286,8
L0287,G0287,15
L0288,G0288,10
L0289,G0289,14
L0290,G0290,1
L0291,G0291,8
L0292,G0292,2
L0293,G0293,5
L0294,G0294,2
L0295,G0295,7
L0296,G0296,11
L0297,G0297,13
L0298,G0298,4
L0299,G0299,11
L0300,G0300,12
L0301,G0301,4
L0302,G0302,13
L0303,G0303,6
L0304,G0304,7
L0305,G0305,6
L0306,G0306,9
L0307,G0307,9
L0308,G0308,1
L0309,G0309,12
L0310,G0310,14
L0311,G0311,5
L0312,G0312,4
L0313,G0313,5
L0314,G0314,2
L0315,G0315,7
L0316,G0316,11
L0317,G0317,12
L0318,G0318,14
L0319,G0319,6
L0320,G0320,2
L0321,G0321,9
L0322,G0322,15
L0323,G0323,3
L0324,G0324,8
L0325,G0325,6
L0326,G0326,6
L0327,G0327,4
L0328,G0328,15
L0329,G0329,10
L0330,G0330,5
L0331,G0331,3
L0332,G0332,12
L0333,G0333,11
L0334,G0334,15
L0335,G0335,15
L0336,G0336,4
L0337,G0337,8
L0338,G0338,12
L0339,G0339,4
L0340,G0340,4
L0341,G0341,12
L0342,G0342,4
L0343,G0343,14
L0344,G0344,5
L0345,G0345,4
L0346,G0346,4
L0347,G0347,4
L0348,G0348,14
L0349,G0349,4
L0350,G0350,14
L0351,G0351,10
L0352,G0352,6
L0353,G0353,3
L0354,G0354,13
L0355,G0355,2
L0356,G0356,2
L0357,G0357,15
L0358,G0358,2
L0359,G0359,11
L0360,G0360,11
L0361,G0361,8
L0362,G0362,10
L0363,G0363,1
L0364,G0364,13
L0365,G0365,14
L0366,G0366,9
L0367,G0367,1
L0368,G0368,14
L0369,G0369,8
L0370,G0370,6
L0371,G0371,10
L0372,G0372,6
L0373,G0373,8
L0374,G0374,15
L0375,G0375,15
L0376,G0376,15
L0377,G0377,10
L0378,G0378,14
L0379,G0379,5
L0380,G0380,8
L0381,G0381,3
L0382,G0382,13
L0383,G0383,15
L0384,G0384,9
L0385,G0385,5
L0386,G0386,7
L0387,G0387,4
L0388,G0388,13
L0389,G0389,10
L0390,G0390,3
L0391,G0391,1
L0392,G0392,9
L0393,G0393,13
L0394,G0394,7
L0395,G0395,8
L0396,G0396,9
L0397,G0397,1
L0398,G0398,9
L0399,G0399,6
L0400,G0400,7
L0401,G0401,14
L0402,G0402,11
L0403,G0403,13
L0404,G0404,3
L0405,G0405,8
L0406,G0406,2
L0407,G0407,12
L0408,G0408,9
L0409,G0409,8
L0410,G0410,6
L0411,G0411,12
L0412,G0412,1
L0413,G0413,1
L0414,G0414,11
L0415,G0415,4
L0416,G0416,7
L0417,G0417,10
L0418,G0418,2
L0419,G0419,6
L0420,G0420,6
L0421,G0421,10
L0422,G0422,14
L0423,G0423,5
L0424,G0424,3
L0425,G0425,9
L0426,G0426,5
L0427,G0427,4
L0428,G0428,5
L0429,G0429,8
L0430,G0430,10
L0431,G0431,6
L0432,G0432,6
L0433,G0433,3
L0434,G0434,8
L0435,G0435,7
L0436,G0436,4
L0437,G0437,7
L0438,G0438,12
L0439,G0439,13
L0440,G0440,6
L0441,G0441,6
L0442,G0442,14
L0443,G0443,7
L0444,G0444,5
L0445,G0445,8
L0446,G0446,3
L0447,G0447,10
L0448,G0448,3
L0449,G0449,10
L0450,G0450,11
L0451,G0451,4
L0452,G0452,14
L0453,G0453,2
L0454,G0454,12
L0455,G0455,5
L0456,G0456,13
L0457,G0457,4
L0458,G0458,9
L0459,G0459,7
L0460,G0460,14
L0461,G0461,7
L0462,G0462,4
L0463,G0463,3
L0464,G0464,13
L0465,G0465,12
L0466,G0466,3
L0467,G0467,8
L0468,G0468,13
L0469,G0469,1
L0470,G0470,3
L0471,G0471,7
L0472,G0472,8
L0473,G0473,3
L0474,G0474,15
L0475,G0475,14
L0476,G0476,11
L0477,G0477,9
L0478,G0478,9
L0479,G0479,12
L0480,G0480,6
L0481,G0481,13
L0482,G0482,8
L0483,G0483,5
L0484,G0484,5
L0485,G0485,9
L0486,G0486,14
L0487,G0487,10
L0488,G0488,1
L0489,G0489,7
L0490,G0490,2
L0491,G0491,12
L0492,G0492,3
L0493,G0493,1
L0494,G0494,4
L0495,G0495,14
L0496,G0496,5
L0497,G0497,8
L0498,G0498,14
L0499,G0499,11
L0500,G0500,2
