OrderID,GuestID,Item,Amount
FB0001,G0001,Dinner,889
FB0002,G0002,Breakfast,1454
FB0003,G0003,Lunch,1979
FB0004,G0004,Dinner,862
FB0005,G0005,Breakfast,1480
FB0006,G0006,Dinner,2425
FB0007,G0007,Lunch,818
FB0008,G0008,Coffee,1851
FB0009,G0009,Dinner,455
FB0010,G0010,Coffee,490
FB0011,G0011,Lunch,675
FB0012,G0012,Coffee,1425
FB0013,G0013,Lunch,127
FB0014,G0014,Dinner,1671
FB0015,G0015,Lunch,1929
FB0016,G0016,Dinner,1450
FB0017,G0017,Dinner,2485
FB0018,G0018,Breakfast,1171
FB0019,G0019,Dinner,1067
FB0020,G0020,Breakfast,584
FB0021,G0021,Coffee,1356
FB0022,G0022,Lunch,1760
FB0023,G0023,Dinner,580
FB0024,G0024,Dinner,1605
FB0025,G0025,Lunch,997
FB0026,G0026,Lunch,2058
FB0027,G0027,Lunch,1963
FB0028,G0028,Dinner,1803
FB0029,G0029,Coffee,2301
FB0030,G0030,Lunch,1113
FB0031,G0031,Breakfast,2252
FB0032,G0032,Coffee,2263
FB0033,G0033,Dinner,419
FB0034,G0034,Breakfast,352
FB0035,G0035,Lunch,2445
FB0036,G0036,Lunch,773
FB0037,G0037,Dinner,2231
FB0038,G0038,Coffee,576
FB0039,G0039,Lunch,2488
FB0040,G0040,Coffee,472
FB0041,G0041,Coffee,327
FB0042,G0042,Coffee,640
FB0043,G0043,Coffee,1971
FB0044,G0044,Breakfast,2388
FB0045,G0045,Coffee,1362
FB0046,G0046,Breakfast,1721
FB0047,G0047,Dinner,112
FB0048,G0048,Lunch,2468
FB0049,G0049,Breakfast,285
FB0050,G0050,Coffee,1511
FB0051,G0051,Breakfast,2316
FB0052,G0052,Breakfast,382
FB0053,G0053,Coffee,229
FB0054,G0054,Dinner,1774
FB0055,G0055,Lunch,654
FB0056,G0056,Coffee,1633
FB0057,G0057,Coffee,1937
FB0058,G0058,Coffee,1638
FB0059,G0059,Breakfast,2308
FB0060,G0060,Lunch,1524
FB0061,G0061,Breakfast,831
FB0062,G0062,Coffee,2266
FB0063,G0063,Lunch,1012
FB0064,G0064,Breakfast,193
FB0065,G0065,Dinner,1996
FB0066,G0066,Coffee,2278
FB0067,G0067,Coffee,1040
FB0068,G0068,Lunch,1986
FB0069,G0069,Dinner,735
FB0070,G0070,Dinner,872
FB0071,G0071,Breakfast,231
FB0072,G0072,Coffee,164
FB0073,G0073,Lunch,944
FB0074,G0074,Breakfast,513
FB0075,G0075,Breakfast,1928
FB0076,G0076,Breakfast,1102
FB0077,G0077,Breakfast,1747
FB0078,G0078,Coffee,1059
FB0079,G0079,Lunch,331
FB0080,G0080,Lunch,2163
FB0081,G0081,Dinner,1059
FB0082,G0082,Dinner,2465
FB0083,G0083,Dinner,1070
FB0084,G0084,Dinner,686
FB0085,G0085,Lunch,1793
FB0086,G0086,Dinner,1227
FB0087,G0087,Breakfast,2380
FB0088,G0088,Lunch,1849
FB0089,G0089,Coffee,292
FB0090,G0090,Dinner,1661
FB0091,G0091,Dinner,1805
FB0092,G0092,Coffee,711
FB0093,G0093,Dinner,1641
FB0094,G0094,Lunch,2303
FB0095,G0095,Coffee,1087
FB0096,G0096,Lunch,1331
FB0097,G0097,Lunch,1996
FB0098,G0098,Breakfast,2403
FB0099,G0099,Coffee,1806
FB0100,G0100,Lunch,1690
FB0101,G0101,Lunch,1144
FB0102,G0102,Lunch,1452
FB0103,G0103,Breakfast,1942
FB0104,G0104,Dinner,478
FB0105,G0105,Lunch,311
FB0106,G0106,Dinner,1644
FB0107,G0107,Breakfast,398
FB0108,G0108,Lunch,2389
FB0109,G0109,Lunch,2063
FB0110,G0110,Lunch,1463
FB0111,G0111,Dinner,162
FB0112,G0112,Lunch,878
FB0113,G0113,Breakfast,2061
FB0114,G0114,Lunch,937
FB0115,G0115,Coffee,1080
FB0116,G0116,Dinner,1259
FB0117,G0117,Coffee,2009
FB0118,G0118,Dinner,1363
FB0119,G0119,Dinner,1573
FB0120,G0120,Coffee,2008
FB0121,G0121,Breakfast,2023
FB0122,G0122,Dinner,932
FB0123,G0123,Dinner,1381
FB0124,G0124,Coffee,287
FB0125,G0125,Lunch,697
FB0126,G0126,Breakfast,1168
FB0127,G0127,Coffee,1309
FB0128,G0128,Lunch,903
FB0129,G0129,Dinner,1042
FB0130,G0130,Coffee,2433
