TripID,GuestID,Type
T0001,G0001,Airport Drop
T0002,G0002,City Tour
T0003,G0003,Airport Drop
T0004,G0004,Airport Drop
T0005,G0005,Airport Drop
T0006,G0006,Airport Drop
T0007,G0007,City Tour
T0008,G0008,City Tour
T0009,G0009,Airport Drop
T0010,G0010,Airport Drop
T0011,G0011,Airport Pickup
T0012,G0012,Airport Drop
T0013,G0013,Airport Pickup
T0014,G0014,Airport Drop
T0015,G0015,City Tour
T0016,G0016,City Tour
T0017,G0017,Airport Pickup
T0018,G0018,City Tour
T0019,G0019,City Tour
T0020,G0020,City Tour
T0021,G0021,City Tour
T0022,G0022,City Tour
T0023,G0023,Airport Pickup
T0024,G0024,Airport Drop
T0025,G0025,Airport Drop
T0026,G0026,Airport Drop
T0027,G0027,City Tour
T0028,G0028,City Tour
T0029,G0029,Airport Drop
T0030,G0030,City Tour
T0031,G0031,Airport Drop
T0032,G0032,Airport Pickup
T0033,G0033,Airport Drop
T0034,G0034,City Tour
T0035,G0035,Airport Drop
T0036,G0036,Airport Drop
T0037,G0037,City Tour
T0038,G0038,Airport Pickup
T0039,G0039,Airport Pickup
T0040,G0040,City Tour
T0041,G0041,Airport Drop
T0042,G0042,Airport Drop
T0043,G0043,City Tour
T0044,G0044,City Tour
T0045,G0045,City Tour
T0046,G0046,Airport Drop
T0047,G0047,Airport Pickup
T0048,G0048,Airport Pickup
T0049,G0049,Airport Pickup
T0050,G0050,Airport Drop
T0051,G0051,Airport Pickup
T0052,G0052,Airport Drop
T0053,G0053,Airport Drop
T0054,G0054,City Tour
T0055,G0055,Airport Drop
T0056,G0056,City Tour
T0057,G0057,Airport Drop
T0058,G0058,City Tour
T0059,G0059,City Tour
T0060,G0060,Airport Drop
T0061,G0061,Airport Drop
T0062,G0062,Airport Drop
T0063,G0063,Airport Drop
T0064,G0064,City Tour
T0065,G0065,City Tour
T0066,G0066,City Tour
T0067,G0067,Airport Drop
T0068,G0068,Airport Drop
T0069,G0069,Airport Pickup
T0070,G0070,Airport Pickup
T0071,G0071,Airport Pickup
T0072,G0072,Airport Pickup
